Total World Cup matches: 72
Cabo Verde vs Uruguay | Date (ART): 21/6/2026, 07:00:00 | UTC: 2026-06-21T22:00:00.000Z | ID: cmpx1wsyl004rga5favqz27x6
Egipto vs Nueva Zelanda | Date (ART): 21/6/2026, 10:00:00 | UTC: 2026-06-22T01:00:00.000Z | ID: cmpx1wrl60045ga5fd8ubf552
Argentina vs Austria | Date (ART): 22/6/2026, 02:00:00 | UTC: 2026-06-22T17:00:00.000Z | ID: cmpx1wvd2005xga5f2o0xdl2r
Francia vs Irak | Date (ART): 22/6/2026, 04:00:00 | UTC: 2026-06-22T19:00:00.000Z | ID: cmpx1wu3q005bga5ftrooqlmt
Senegal vs Noruega | Date (ART): 22/6/2026, 07:00:00 | UTC: 2026-06-22T22:00:00.000Z | ID: cmpx1wu7v005dga5fvtejii3z
Argelia vs Jordania | Date (ART): 23/6/2026, 12:00:00 | UTC: 2026-06-23T03:00:00.000Z | ID: cmpx1wvh6005zga5fqgxa7gmy
Portugal vs Uzbekist├ín | Date (ART): 23/6/2026, 02:00:00 | UTC: 2026-06-23T17:00:00.000Z | ID: cmpx1wwmd006jga5fq01q9jod
M├®xico vs Rep├║blica Checa | Date (ART): 23/6/2026, 04:00:00 | UTC: 2026-06-23T19:00:00.000Z | ID: cmpx1wk54000jga5fybsrxgpr
Inglaterra vs Ghana | Date (ART): 23/6/2026, 05:00:00 | UTC: 2026-06-23T20:00:00.000Z | ID: cmpx1wxvn0075ga5ff3ecfntj
Croacia vs Panam├í | Date (ART): 23/6/2026, 08:00:00 | UTC: 2026-06-23T23:00:00.000Z | ID: cmpx1wxzr0077ga5f2m286r88
Sud├ífrica vs Corea del Sur | Date (ART): 23/6/2026, 11:00:00 | UTC: 2026-06-24T02:00:00.000Z | ID: cmpx1wk99000lga5fk4h9f9al
RD Congo vs Colombia | Date (ART): 23/6/2026, 11:00:00 | UTC: 2026-06-24T02:00:00.000Z | ID: cmpx1wwqi006lga5fk6aa1y6i
Canad├í vs Suiza | Date (ART): 24/6/2026, 04:00:00 | UTC: 2026-06-24T19:00:00.000Z | ID: cmpx1wlee0015ga5f68dmg5n5
Estados Unidos vs Turqu├¡a | Date (ART): 24/6/2026, 10:00:00 | UTC: 2026-06-25T01:00:00.000Z | ID: cmpx1wnx3002dga5fww25fdno
Bosnia y Herzegovina vs Qatar | Date (ART): 25/6/2026, 04:00:00 | UTC: 2026-06-25T19:00:00.000Z | ID: cmpx1wlil0017ga5fppcetyx4
Brasil vs Escocia | Date (ART): 25/6/2026, 07:00:00 | UTC: 2026-06-25T22:00:00.000Z | ID: cmpx1wmnp001rga5fy90hr655
Marruecos vs Hait├¡ | Date (ART): 25/6/2026, 10:00:00 | UTC: 2026-06-26T01:00:00.000Z | ID: cmpx1wmru001tga5fy1qwkl6g
Paraguay vs Australia | Date (ART): 26/6/2026, 01:00:00 | UTC: 2026-06-26T04:00:00.000Z | ID: cmpx1wo17002fga5fobi21mff
Alemania vs Ecuador | Date (ART): 26/6/2026, 02:00:00 | UTC: 2026-06-26T17:00:00.000Z | ID: cmpx1wp6d002zga5f9hrp7ic0
Pa├¡ses Bajos vs Suecia | Date (ART): 26/6/2026, 05:00:00 | UTC: 2026-06-26T20:00:00.000Z | ID: cmpx1wqg0003lga5fgi647hz2
Curazao vs Costa de Marfil | Date (ART): 26/6/2026, 08:00:00 | UTC: 2026-06-26T23:00:00.000Z | ID: cmpx1wpai0031ga5fnrjdou6g
Jap├│n vs T├║nez | Date (ART): 26/6/2026, 11:00:00 | UTC: 2026-06-27T02:00:00.000Z | ID: cmpx1wqk4003nga5fenaaxzfx
Espa├▒a vs Uruguay | Date (ART): 27/6/2026, 01:00:00 | UTC: 2026-06-27T16:00:00.000Z | ID: cmpx1wt2p004tga5fr10c1ljx
B├®lgica vs Nueva Zelanda | Date (ART): 27/6/2026, 04:00:00 | UTC: 2026-06-27T19:00:00.000Z | ID: cmpx1wrpa0047ga5fl2l01v3v
Cabo Verde vs Arabia Saudita | Date (ART): 27/6/2026, 07:00:00 | UTC: 2026-06-27T22:00:00.000Z | ID: cmpx1wt6t004vga5fvqj35pog
Egipto vs Ir├ín | Date (ART): 27/6/2026, 10:00:00 | UTC: 2026-06-28T01:00:00.000Z | ID: cmpx1wrte0049ga5fdbsxotw3
Argelia vs Austria | Date (ART): 27/6/2026, 11:00:00 | UTC: 2026-06-28T02:00:00.000Z | ID: cmpx1wvpe0063ga5f5v5nip8o
Argentina vs Jordania | Date (ART): 27/6/2026, 11:00:00 | UTC: 2026-06-28T02:00:00.000Z | ID: cmpx1wvla0061ga5fyppwncua
Francia vs Noruega | Date (ART): 28/6/2026, 04:00:00 | UTC: 2026-06-28T19:00:00.000Z | ID: cmpx1wubz005fga5fk6436gjs
Senegal vs Irak | Date (ART): 28/6/2026, 07:00:00 | UTC: 2026-06-28T22:00:00.000Z | ID: cmpx1wug3005hga5fv4ea8uja
Portugal vs Colombia | Date (ART): 29/6/2026, 02:00:00 | UTC: 2026-06-29T17:00:00.000Z | ID: cmpx1wwum006nga5f9xcidy0d
Inglaterra vs Panam├í | Date (ART): 29/6/2026, 05:00:00 | UTC: 2026-06-29T20:00:00.000Z | ID: cmpx1wy3v0079ga5fcb5rc37j
Croacia vs Ghana | Date (ART): 29/6/2026, 08:00:00 | UTC: 2026-06-29T23:00:00.000Z | ID: cmpx1wy7z007bga5fhxl5w0lt
RD Congo vs Uzbekist├ín | Date (ART): 29/6/2026, 11:00:00 | UTC: 2026-06-30T02:00:00.000Z | ID: cmpx1wwyq006pga5fhy8bn5wd
